Supplier,FY,Month,Defect Qty,Received Qty,PPM,Case Count
KSV,FY25,Apr,134,47640,2812.8,11
KSV,FY25,May,99,42711,2317.9,4
KSV,FY25,Jun,100,57228,1747.4,8
KSV,FY25,Jul,95,45038,2109.3,6
KSV,FY25,Aug,84,44182,1901.2,2
KSV,FY25,Sep,44,56601,777.4,1
KSV,FY25,Oct,150,53624,2797.3,8
KSV,FY25,Nov,10,49819,200.7,2
KSV,FY25,Dec,34,56356,603.3,5
KSV,FY25,Jan,98,47810,2049.8,9
KSV,FY25,Feb,15,44376,338.0,0
KSV,FY25,Mar,115,47610,2415.5,17
KSV,FY26,Apr,85,45140,1883.0,14
KSV,FY26,May,14,54536,256.7,0
KSV,FY26,Jun,53,52844,1003.0,3
KSV,FY26,Jul,110,44409,2477.0,15
KSV,FY26,Aug,17,54084,314.3,2
AKUSAN,FY25,Apr,83,28666,2895.4,2
AKUSAN,FY25,May,32,27230,1175.2,0
AKUSAN,FY25,Jun,23,26027,883.7,4
AKUSAN,FY25,Jul,32,33969,942.0,1
AKUSAN,FY25,Aug,37,34083,1085.6,2
AKUSAN,FY25,Sep,41,26501,1547.1,0
AKUSAN,FY25,Oct,66,25611,2577.0,12
AKUSAN,FY25,Nov,49,26316,1862.0,5
AKUSAN,FY25,Dec,21,28508,736.6,0
AKUSAN,FY25,Jan,10,34392,290.8,0
AKUSAN,FY25,Feb,81,27408,2955.3,13
AKUSAN,FY25,Mar,79,33332,2370.1,14
AKUSAN,FY26,Apr,46,30782,1494.4,8
AKUSAN,FY26,May,58,30644,1892.7,0
AKUSAN,FY26,Jun,32,26648,1200.8,2
AKUSAN,FY26,Jul,37,32084,1153.2,1
AKUSAN,FY26,Aug,19,31528,602.6,2
NISSEN,FY25,Apr,38,24472,1552.8,0
NISSEN,FY25,May,47,23412,2007.5,0
NISSEN,FY25,Jun,20,27104,737.9,2
NISSEN,FY25,Jul,72,21911,3286.0,8
NISSEN,FY25,Aug,19,24092,788.6,0
NISSEN,FY25,Sep,9,27408,328.4,1
NISSEN,FY25,Oct,18,26309,684.2,2
NISSEN,FY25,Nov,61,27409,2225.5,8
NISSEN,FY25,Dec,74,28307,2614.2,2
NISSEN,FY25,Jan,60,22812,2630.2,6
NISSEN,FY25,Feb,73,27913,2615.3,10
NISSEN,FY25,Mar,34,22341,1521.9,1
NISSEN,FY26,Apr,70,25289,2768.0,10
NISSEN,FY26,May,48,24980,1921.5,6
NISSEN,FY26,Jun,21,21866,960.4,3
NISSEN,FY26,Jul,37,23774,1556.3,1
NISSEN,FY26,Aug,12,25942,462.6,0
PARADISE,FY25,Apr,19,22018,862.9,0
PARADISE,FY25,May,21,18546,1132.3,0
PARADISE,FY25,Jun,21,21082,996.1,1
PARADISE,FY25,Jul,53,18826,2815.3,8
PARADISE,FY25,Aug,47,22518,2087.2,6
PARADISE,FY25,Sep,39,17595,2216.5,7
PARADISE,FY25,Oct,7,20228,346.1,0
PARADISE,FY25,Nov,37,22784,1623.9,2
PARADISE,FY25,Dec,57,19200,2968.8,11
PARADISE,FY25,Jan,47,20472,2295.8,3
PARADISE,FY25,Feb,53,21055,2517.2,7
PARADISE,FY25,Mar,31,18126,1710.3,0
PARADISE,FY26,Apr,18,19750,911.4,2
PARADISE,FY26,May,42,19760,2125.5,0
PARADISE,FY26,Jun,27,17970,1502.5,2
PARADISE,FY26,Jul,46,21441,2145.4,5
PARADISE,FY26,Aug,23,21746,1057.7,4
BTD,FY25,Apr,21,13995,1500.5,3
BTD,FY25,May,14,14016,998.9,1
BTD,FY25,Jun,25,13108,1907.2,5
BTD,FY25,Jul,6,12766,470.0,1
BTD,FY25,Aug,20,15066,1327.5,0
BTD,FY25,Sep,24,15620,1536.5,1
BTD,FY25,Oct,39,14290,2729.2,5
BTD,FY25,Nov,39,15838,2462.4,3
BTD,FY25,Dec,44,17024,2584.6,2
BTD,FY25,Jan,28,14932,1875.2,1
BTD,FY25,Feb,44,13226,3326.8,2
BTD,FY25,Mar,25,13426,1862.1,4
BTD,FY26,Apr,25,14544,1718.9,4
BTD,FY26,May,10,15205,657.7,1
BTD,FY26,Jun,43,16975,2533.1,6
BTD,FY26,Jul,14,16579,844.4,1
BTD,FY26,Aug,9,16656,540.3,1
C.G.,FY25,Apr,38,18056,2104.6,1
C.G.,FY25,May,52,17342,2998.5,6
C.G.,FY25,Jun,26,16332,1592.0,2
C.G.,FY25,Jul,54,18752,2879.7,9
C.G.,FY25,Aug,54,18319,2947.8,7
C.G.,FY25,Sep,6,20011,299.8,1
C.G.,FY25,Oct,42,20527,2046.1,5
C.G.,FY25,Nov,47,18966,2478.1,4
C.G.,FY25,Dec,18,20313,886.1,2
C.G.,FY25,Jan,8,16723,478.4,0
C.G.,FY25,Feb,8,15744,508.1,0
C.G.,FY25,Mar,28,18683,1498.7,1
C.G.,FY26,Apr,29,16843,1721.8,1
C.G.,FY26,May,53,19493,2718.9,1
C.G.,FY26,Jun,24,17351,1383.2,0
C.G.,FY26,Jul,33,17982,1835.2,3
C.G.,FY26,Aug,45,16492,2728.6,7
TTS PLASTIC,FY25,Apr,10,12981,770.4,1
TTS PLASTIC,FY25,May,20,11932,1676.2,3
TTS PLASTIC,FY25,Jun,23,10674,2154.8,4
TTS PLASTIC,FY25,Jul,33,12391,2663.2,2
TTS PLASTIC,FY25,Aug,28,11266,2485.4,4
TTS PLASTIC,FY25,Sep,25,11099,2252.5,2
TTS PLASTIC,FY25,Oct,12,12606,951.9,2
TTS PLASTIC,FY25,Nov,20,13166,1519.1,3
TTS PLASTIC,FY25,Dec,21,10804,1943.7,4
TTS PLASTIC,FY25,Jan,16,12439,1286.3,0
TTS PLASTIC,FY25,Feb,10,10905,917.0,1
TTS PLASTIC,FY25,Mar,12,10256,1170.0,0
TTS PLASTIC,FY26,Apr,12,11105,1080.6,1
TTS PLASTIC,FY26,May,5,11546,433.1,1
TTS PLASTIC,FY26,Jun,32,10376,3084.0,2
TTS PLASTIC,FY26,Jul,8,11209,713.7,1
TTS PLASTIC,FY26,Aug,16,10475,1527.4,0
SAMBO,FY25,Apr,62,20642,3003.6,3
SAMBO,FY25,May,46,23033,1997.1,4
SAMBO,FY25,Jun,66,20167,3272.7,10
SAMBO,FY25,Jul,61,21522,2834.3,0
SAMBO,FY25,Aug,43,22924,1875.8,2
SAMBO,FY25,Sep,51,21893,2329.5,2
SAMBO,FY25,Oct,16,18777,852.1,3
SAMBO,FY25,Nov,28,21213,1319.9,0
SAMBO,FY25,Dec,21,23750,884.2,3
SAMBO,FY25,Jan,7,23830,293.7,0
SAMBO,FY25,Feb,24,20034,1198.0,2
SAMBO,FY25,Mar,36,21380,1683.8,0
SAMBO,FY26,Apr,50,21654,2309.0,3
SAMBO,FY26,May,48,19407,2473.3,8
SAMBO,FY26,Jun,35,22596,1548.9,7
SAMBO,FY26,Jul,6,22067,271.9,0
SAMBO,FY26,Aug,7,24552,285.1,1
DEM,FY25,Apr,16,9012,1775.4,1
DEM,FY25,May,11,9908,1110.2,1
DEM,FY25,Jun,5,10877,459.7,0
DEM,FY25,Jul,17,11258,1510.0,3
DEM,FY25,Aug,20,9130,2190.6,1
DEM,FY25,Sep,16,9670,1654.6,2
DEM,FY25,Oct,17,9196,1848.6,2
DEM,FY25,Nov,13,8602,1511.3,1
DEM,FY25,Dec,30,8668,3461.0,5
DEM,FY25,Jan,9,8958,1004.7,0
DEM,FY25,Feb,14,9411,1487.6,1
DEM,FY25,Mar,15,10639,1409.9,2
DEM,FY26,Apr,25,10633,2351.2,0
DEM,FY26,May,17,9543,1781.4,2
DEM,FY26,Jun,5,8752,571.3,1
DEM,FY26,Jul,25,11425,2188.2,2
DEM,FY26,Aug,18,8809,2043.4,3
APT,FY25,Apr,19,7917,2399.9,2
APT,FY25,May,11,8323,1321.6,1
APT,FY25,Jun,16,6841,2338.8,0
APT,FY25,Jul,6,8337,719.7,1
APT,FY25,Aug,6,7231,829.8,1
APT,FY25,Sep,17,7134,2383.0,2
APT,FY25,Oct,14,7773,1801.1,1
APT,FY25,Nov,20,7955,2514.1,2
APT,FY25,Dec,8,8814,907.6,0
APT,FY25,Jan,19,8901,2134.6,1
APT,FY25,Feb,22,7563,2908.9,1
APT,FY25,Mar,19,8835,2150.5,0
APT,FY26,Apr,21,8802,2385.8,3
APT,FY26,May,5,7044,709.8,0
APT,FY26,Jun,13,8968,1449.6,0
APT,FY26,Jul,20,8420,2375.3,4
APT,FY26,Aug,9,9021,997.7,0
SUPERFAST,FY25,Apr,76,37829,2009.0,12
SUPERFAST,FY25,May,40,32783,1220.1,7
SUPERFAST,FY25,Jun,80,36245,2207.2,9
SUPERFAST,FY25,Jul,62,39950,1551.9,4
SUPERFAST,FY25,Aug,62,29832,2078.3,0
SUPERFAST,FY25,Sep,81,39284,2061.9,15
SUPERFAST,FY25,Oct,24,35080,684.2,1
SUPERFAST,FY25,Nov,41,33887,1209.9,1
SUPERFAST,FY25,Dec,40,32003,1249.9,4
SUPERFAST,FY25,Jan,78,33820,2306.3,6
SUPERFAST,FY25,Feb,75,33004,2272.5,11
SUPERFAST,FY25,Mar,13,33829,384.3,0
SUPERFAST,FY26,Apr,37,30923,1196.5,5
SUPERFAST,FY26,May,12,38281,313.5,2
SUPERFAST,FY26,Jun,46,33748,1363.0,8
SUPERFAST,FY26,Jul,87,34501,2521.7,14
SUPERFAST,FY26,Aug,96,40191,2388.6,3
SAM NEO,FY25,Apr,18,13855,1299.2,2
SAM NEO,FY25,May,7,16123,434.2,1
SAM NEO,FY25,Jun,13,14691,884.9,1
SAM NEO,FY25,Jul,39,13260,2941.2,5
SAM NEO,FY25,Aug,31,14034,2208.9,5
SAM NEO,FY25,Sep,29,15932,1820.2,4
SAM NEO,FY25,Oct,16,14462,1106.3,2
SAM NEO,FY25,Nov,7,15294,457.7,1
SAM NEO,FY25,Dec,7,14819,472.4,1
SAM NEO,FY25,Jan,33,15249,2164.1,4
SAM NEO,FY25,Feb,29,13453,2155.7,5
SAM NEO,FY25,Mar,21,14299,1468.6,2
SAM NEO,FY26,Apr,32,12831,2494.0,3
